ID,Name,Category,Price,Rating,Image,Description
1,MacBook Pro M2,Electronics,129999,4.8,https://images.unsplash.com/photo-1517336714731-489689fd1ca8?w=400,Supercharged by the M2 chip. Brilliant Retina display with extreme dynamic range. Powerful processing capabilities.
2,iPhone 14 Pro,Electronics,119999,4.9,https://images.unsplash.com/photo-1510557880182-3d4d3cba35a5?w=400,Dynamic Island. 48MP Main camera. Always-On display. The revolutionary A16 Bionic chip powers incredible photography.
3,Sony WH-1000XM5,Electronics,29999,4.8,https://images.unsplash.com/photo-1618366712010-f4ae9c647dcb?w=400,Industry leading noise canceling headphones. Exceptional battery life of up to 30 hours and quick charging.
4,Men's Cotton T-Shirt,Clothing,999,4.5,https://images.unsplash.com/photo-1521572163474-6864f9cf17ab?w=400,100% pure cotton classic fit t-shirt. Breathable and comfortable for everyday wear. Available in multiple colors.
5,Denim Jeans,Clothing,2499,4.6,https://images.unsplash.com/photo-1542272604-787c3835535d?w=400,Premium stretch denim jeans. Classic 5-pocket styling and a versatile straight fit. Durable and stylish.
6,Leather Jacket,Clothing,5999,4.8,https://images.unsplash.com/photo-1551028719-00167b16eac5?w=400,Genuine leather motorcycle jacket with asymmetrical zip closure. A timeless wardrobe staple for any season.
7,Gourmet Coffee Beans,Food,899,4.7,https://images.unsplash.com/photo-1559525839-b184a4d698c7?w=400,"100% Arabica medium roast whole bean coffee. Sourced from sustainable farms in Colombia. Rich, chocolatey notes."
8,Dark Chocolate Truffles,Food,1299,4.9,https://images.unsplash.com/photo-1549007994-cb92caebd54b?w=400,Assorted dark chocolate truffles with creamy ganache centers. Perfect for gifting or treating yourself.
9,Organic Green Tea,Food,499,4.4,https://images.unsplash.com/photo-1576092768241-dec231879fc3?w=400,Premium organic green tea leaves packed with antioxidants. Refreshing and soothing natural flavor.
10,The Great Gatsby,Books,399,4.8,https://images.unsplash.com/photo-1544947950-fa07a98d237f?w=400,"F. Scott Fitzgerald's classic novel of the Jazz Age. A tragic story of love, wealth, and the American Dream."
11,Atomic Habits,Books,699,4.9,https://images.unsplash.com/photo-1589829085413-56de8ae18c73?w=400,An easy and proven way to build good habits and break bad ones. Master small changes for remarkable results.
12,Scented Candle,Home,799,4.6,https://images.unsplash.com/photo-1603006905003-be475563bc59?w=400,Lavender and vanilla scented soy wax candle. Burns cleanly for up to 40 hours. Creates a relaxing atmosphere.
13,Throw Blanket,Home,1499,4.7,https://images.unsplash.com/photo-1580301762395-21ce84d00bc6?w=400,Ultra-soft faux fur throw blanket. Adds warmth and texture to your sofa or bed. Machine washable.
14,Ceramic Coffee Mug,Home,299,4.5,https://images.unsplash.com/photo-1514228742587-6b1558fcca3d?w=400,Large 15oz ceramic mug with an ergonomic handle. Microwave and dishwasher safe. Perfect for your morning brew.
15,Running Shoes,Clothing,4999,4.7,https://images.unsplash.com/photo-1542291026-7eec264c27ff?w=400,Lightweight and breathable running shoes with responsive cushioning. Engineered for maximum comfort on the track.
16,Wireless Earbuds,Electronics,3999,4.3,https://images.unsplash.com/photo-1590658268037-6bf12165a8df?w=400,True wireless earbuds with deep bass and clear treble. IPX7 waterproof rating and 24-hour battery life with case.
