TransactionID,CustomerID,Item
1,1038,Men's Cotton T-Shirt
1,1038,Denim Jeans
2,1008,Gourmet Coffee Beans
3,1044,The Great Gatsby
3,1044,Atomic Habits
3,1044,Gourmet Coffee Beans
4,1019,Throw Blanket
4,1019,Leather Jacket
5,1050,Dark Chocolate Truffles
5,1050,Organic Green Tea
5,1050,Gourmet Coffee Beans
6,1011,Men's Cotton T-Shirt
6,1011,Denim Jeans
6,1011,Leather Jacket
7,1046,The Great Gatsby
8,1006,Scented Candle
9,1048,Dark Chocolate Truffles
9,1048,Ceramic Coffee Mug
9,1048,Gourmet Coffee Beans
10,1030,The Great Gatsby
10,1030,Atomic Habits
11,1030,Scented Candle
11,1030,Throw Blanket
12,1006,Men's Cotton T-Shirt
12,1006,Denim Jeans
12,1006,Leather Jacket
12,1006,Running Shoes
13,1049,Dark Chocolate Truffles
13,1049,Gourmet Coffee Beans
14,1031,Wireless Earbuds
15,1008,Men's Cotton T-Shirt
15,1008,Denim Jeans
15,1008,Leather Jacket
16,1018,Scented Candle
17,1021,The Great Gatsby
18,1001,Scented Candle
18,1001,Throw Blanket
19,1045,Men's Cotton T-Shirt
19,1045,Denim Jeans
19,1045,Leather Jacket
19,1045,Running Shoes
20,1044,Men's Cotton T-Shirt
21,1006,Scented Candle
22,1039,Dark Chocolate Truffles
22,1039,Organic Green Tea
22,1039,Gourmet Coffee Beans
23,1002,Throw Blanket
24,1028,Wireless Earbuds
24,1028,iPhone 14 Pro
25,1007,Men's Cotton T-Shirt
25,1007,Denim Jeans
25,1007,Leather Jacket
26,1008,Dark Chocolate Truffles
26,1008,Gourmet Coffee Beans
27,1038,The Great Gatsby
27,1038,Atomic Habits
27,1038,Gourmet Coffee Beans
28,1027,MacBook Pro M2
29,1004,Men's Cotton T-Shirt
29,1004,Denim Jeans
29,1004,Leather Jacket
30,1027,Organic Green Tea
30,1027,Throw Blanket
30,1027,Running Shoes
31,1009,iPhone 14 Pro
32,1048,Wireless Earbuds
32,1048,MacBook Pro M2
33,1022,Men's Cotton T-Shirt
33,1022,Running Shoes
34,1030,Wireless Earbuds
34,1030,MacBook Pro M2
35,1029,Scented Candle
36,1009,Men's Cotton T-Shirt
36,1009,Denim Jeans
36,1009,Running Shoes
37,1006,iPhone 14 Pro
38,1014,Wireless Earbuds
38,1014,MacBook Pro M2
38,1014,Sony WH-1000XM5
39,1021,Men's Cotton T-Shirt
39,1021,Denim Jeans
39,1021,Leather Jacket
40,1035,Wireless Earbuds
40,1035,MacBook Pro M2
41,1045,Men's Cotton T-Shirt
41,1045,Leather Jacket
42,1013,Men's Cotton T-Shirt
42,1013,Denim Jeans
43,1021,Wireless Earbuds
43,1021,iPhone 14 Pro
43,1021,Sony WH-1000XM5
44,1029,Men's Cotton T-Shirt
44,1029,Denim Jeans
44,1029,Leather Jacket
44,1029,Running Shoes
45,1031,Men's Cotton T-Shirt
46,1045,Dark Chocolate Truffles
46,1045,MacBook Pro M2
46,1045,Throw Blanket
47,1030,MacBook Pro M2
47,1030,Sony WH-1000XM5
48,1032,Dark Chocolate Truffles
48,1032,Organic Green Tea
48,1032,Gourmet Coffee Beans
49,1039,Sony WH-1000XM5
50,1043,Scented Candle
51,1027,MacBook Pro M2
52,1038,Scented Candle
53,1040,Dark Chocolate Truffles
53,1040,Organic Green Tea
53,1040,Gourmet Coffee Beans
54,1050,MacBook Pro M2
54,1050,The Great Gatsby
54,1050,Ceramic Coffee Mug
55,1049,Wireless Earbuds
55,1049,MacBook Pro M2
55,1049,Sony WH-1000XM5
56,1032,The Great Gatsby
56,1032,Denim Jeans
56,1032,Running Shoes
57,1045,Wireless Earbuds
57,1045,MacBook Pro M2
58,1006,Dark Chocolate Truffles
58,1006,Atomic Habits
58,1006,Ceramic Coffee Mug
59,1049,Scented Candle
60,1007,Men's Cotton T-Shirt
61,1024,Wireless Earbuds
61,1024,MacBook Pro M2
62,1047,Wireless Earbuds
63,1041,The Great Gatsby
64,1036,Dark Chocolate Truffles
64,1036,Ceramic Coffee Mug
65,1030,The Great Gatsby
65,1030,Atomic Habits
66,1029,Wireless Earbuds
66,1029,MacBook Pro M2
67,1011,Atomic Habits
67,1011,Ceramic Coffee Mug
68,1002,Men's Cotton T-Shirt
68,1002,Leather Jacket
69,1014,Scented Candle
69,1014,Throw Blanket
70,1023,Dark Chocolate Truffles
70,1023,Organic Green Tea
70,1023,Gourmet Coffee Beans
71,1026,The Great Gatsby
72,1002,Organic Green Tea
72,1002,Ceramic Coffee Mug
72,1002,Gourmet Coffee Beans
73,1027,The Great Gatsby
73,1027,Gourmet Coffee Beans
74,1012,Organic Green Tea
74,1012,Ceramic Coffee Mug
74,1012,Gourmet Coffee Beans
75,1046,The Great Gatsby
75,1046,Gourmet Coffee Beans
76,1045,MacBook Pro M2
76,1045,Sony WH-1000XM5
76,1045,Leather Jacket
77,1041,The Great Gatsby
77,1041,Atomic Habits
78,1044,Scented Candle
79,1023,The Great Gatsby
80,1011,Sony WH-1000XM5
81,1012,Men's Cotton T-Shirt
81,1012,Denim Jeans
81,1012,Leather Jacket
82,1047,The Great Gatsby
82,1047,Atomic Habits
82,1047,Gourmet Coffee Beans
83,1011,The Great Gatsby
83,1011,Atomic Habits
83,1011,Gourmet Coffee Beans
84,1035,iPhone 14 Pro
85,1016,Scented Candle
85,1016,Throw Blanket
86,1012,Organic Green Tea
87,1029,Men's Cotton T-Shirt
87,1029,Denim Jeans
87,1029,Running Shoes
88,1045,The Great Gatsby
89,1009,The Great Gatsby
90,1041,Wireless Earbuds
90,1041,MacBook Pro M2
91,1049,Dark Chocolate Truffles
91,1049,Organic Green Tea
91,1049,Gourmet Coffee Beans
92,1002,iPhone 14 Pro
92,1002,Sony WH-1000XM5
93,1008,iPhone 14 Pro
94,1005,The Great Gatsby
95,1019,Dark Chocolate Truffles
95,1019,Organic Green Tea
95,1019,Gourmet Coffee Beans
96,1044,Men's Cotton T-Shirt
96,1044,Denim Jeans
97,1020,Dark Chocolate Truffles
97,1020,Organic Green Tea
97,1020,Gourmet Coffee Beans
98,1040,Wireless Earbuds
98,1040,MacBook Pro M2
98,1040,Sony WH-1000XM5
99,1039,The Great Gatsby
99,1039,Atomic Habits
99,1039,Gourmet Coffee Beans
100,1040,Wireless Earbuds
100,1040,iPhone 14 Pro
100,1040,Sony WH-1000XM5
101,1010,The Great Gatsby
102,1023,MacBook Pro M2
102,1023,Sony WH-1000XM5
103,1029,The Great Gatsby
104,1033,Scented Candle
105,1032,The Great Gatsby
106,1036,Dark Chocolate Truffles
106,1036,Organic Green Tea
107,1023,iPhone 14 Pro
108,1006,iPhone 14 Pro
108,1006,Gourmet Coffee Beans
109,1007,Organic Green Tea
110,1017,iPhone 14 Pro
110,1017,Sony WH-1000XM5
111,1025,Men's Cotton T-Shirt
111,1025,Denim Jeans
111,1025,Leather Jacket
